#id sdkAdded compatAdded codepoints
1F321 23 1 1F321
1F324 23 1 1F324
1F325 23 1 1F325
1F326 23 1 1F326
1F327 23 1 1F327
1F328 23 1 1F328
1F329 23 1 1F329
1F32A 23 1 1F32A
1F32B 23 1 1F32B
1F32C 23 1 1F32C
1F32D 23 1 1F32D
1F32E 23 1 1F32E
1F32F 23 1 1F32F
1F330 19 1 1F330
1F331 19 1 1F331
1F332 19 1 1F332
1F333 19 1 1F333
1F334 19 1 1F334
1F335 19 1 1F335
1F336 23 1 1F336
1F337 19 1 1F337
1F338 19 1 1F338
1F339 19 1 1F339
1F33A 19 1 1F33A
1F33B 19 1 1F33B
1F33C 19 1 1F33C
1F33D 19 1 1F33D
1F33E 19 1 1F33E
1F33F 19 1 1F33F
1F340 19 1 1F340
1F341 19 1 1F341
1F342 19 1 1F342
1F343 19 1 1F343
1F344 19 1 1F344
1F345 19 1 1F345
1F346 19 1 1F346
1F347 19 1 1F347
1F348 19 1 1F348
1F349 19 1 1F349
1F34A 19 1 1F34A
1F34B 19 1 1F34B
1F34C 19 1 1F34C
1F34D 19 1 1F34D
1F34E 19 1 1F34E
1F34F 19 1 1F34F
1F350 19 1 1F350
1F351 19 1 1F351
1F352 19 1 1F352
1F353 19 1 1F353
1F354 19 1 1F354
1F355 19 1 1F355
1F356 19 1 1F356
1F357 19 1 1F357
1F358 19 1 1F358
1F359 19 1 1F359
1F35A 19 1 1F35A
1F35B 19 1 1F35B
1F35C 19 1 1F35C
1F35D 19 1 1F35D
1F35E 19 1 1F35E
1F35F 19 1 1F35F
1F360 19 1 1F360
1F361 19 1 1F361
1F362 19 1 1F362
1F363 19 1 1F363
1F364 19 1 1F364
1F365 19 1 1F365
1F366 19 1 1F366
1F367 19 1 1F367
1F368 19 1 1F368
1F369 19 1 1F369
1F36A 19 1 1F36A
1F36B 19 1 1F36B
1F36C 19 1 1F36C
1F36D 19 1 1F36D
1F36E 19 1 1F36E
1F36F 19 1 1F36F
1F370 19 1 1F370
1F371 19 1 1F371
1F372 19 1 1F372
1F373 19 1 1F373
1F374 19 1 1F374
1F375 19 1 1F375
1F376 19 1 1F376
1F377 19 1 1F377
1F378 19 1 1F378
1F379 19 1 1F379
1F37A 19 1 1F37A
1F37B 19 1 1F37B
1F37C 19 1 1F37C
1F37D 23 1 1F37D
1F37E 23 1 1F37E
1F37F 23 1 1F37F
1F380 19 1 1F380
1F381 19 1 1F381
1F382 19 1 1F382
1F383 19 1 1F383
1F384 19 1 1F384
1F385 19 1 1F385
1F386 19 1 1F386
1F387 19 1 1F387
1F388 19 1 1F388
1F389 19 1 1F389
1F38A 19 1 1F38A
1F38B 19 1 1F38B
1F38C 19 1 1F38C
1F38D 19 1 1F38D
1F38E 19 1 1F38E
1F38F 19 1 1F38F
1F390 19 1 1F390
1F391 19 1 1F391
1F392 19 1 1F392
1F393 19 1 1F393
1F396 23 1 1F396
1F397 23 1 1F397
1F399 23 1 1F399
1F39A 23 1 1F39A
1F39B 23 1 1F39B
1F39E 23 1 1F39E
1F39F 23 1 1F39F
1F3A0 19 1 1F3A0
1F3A1 19 1 1F3A1
1F3A2 19 1 1F3A2
1F3A3 19 1 1F3A3
1F3A4 19 1 1F3A4
1F3A5 19 1 1F3A5
1F3A6 19 1 1F3A6
1F3A7 19 1 1F3A7
1F3A8 19 1 1F3A8
1F3A9 19 1 1F3A9
1F3AA 19 1 1F3AA
1F3AB 19 1 1F3AB
1F3AC 19 1 1F3AC
1F3AD 19 1 1F3AD
1F3AE 19 1 1F3AE
1F3AF 19 1 1F3AF
1F3B0 19 1 1F3B0
1F3B1 19 1 1F3B1
1F3B2 19 1 1F3B2
1F3B3 19 1 1F3B3
1F3B4 19 1 1F3B4
1F3B5 19 1 1F3B5
1F3B6 19 1 1F3B6
1F3B7 19 1 1F3B7
1F3B8 19 1 1F3B8
1F3B9 19 1 1F3B9
1F3BA 19 1 1F3BA
1F3BB 19 1 1F3BB
1F3BC 19 1 1F3BC
1F3BD 19 1 1F3BD
1F3BE 19 1 1F3BE
1F3BF 19 1 1F3BF
1F3C0 19 1 1F3C0
1F3C1 19 1 1F3C1
1F3C2 19 1 1F3C2
1F3C3 19 1 1F3C3
1F3C4 19 1 1F3C4
1F3C5 23 1 1F3C5
1F3C6 19 1 1F3C6
1F3C7 19 1 1F3C7
1F3C8 19 1 1F3C8
1F3C9 19 1 1F3C9
1F3CA 19 1 1F3CA
1F3CB 23 1 1F3CB
1F3CC 23 1 1F3CC
1F3CD 23 1 1F3CD
1F3CE 23 1 1F3CE
1F3CF 23 1 1F3CF
1F3D0 23 1 1F3D0
1F3D1 23 1 1F3D1
1F3D2 23 1 1F3D2
1F3D3 23 1 1F3D3
1F3D4 23 1 1F3D4
1F3D5 23 1 1F3D5
1F3D6 23 1 1F3D6
1F3D7 23 1 1F3D7
1F3D8 23 1 1F3D8
1F3D9 23 1 1F3D9
1F3DA 23 1 1F3DA
1F3DB 23 1 1F3DB
1F3DC 23 1 1F3DC
1F3DD 23 1 1F3DD
1F3DE 23 1 1F3DE
1F3DF 23 1 1F3DF
1F3E0 19 1 1F3E0
1F3E1 19 1 1F3E1
1F3E2 19 1 1F3E2
1F3E3 19 1 1F3E3
1F3E4 19 1 1F3E4
1F3E5 19 1 1F3E5
1F3E6 19 1 1F3E6
1F3E7 19 1 1F3E7
